K,L,R,Rstitched,a,Recall,UserTime,ElapsedTime
100,150,10,96,1.2,92.83,31.234375,2.70819
100,150,20,96,1.2,98.05,40.62500,3.93807
100,150,30,96,1.2,99.03,46.296875,5.284
100,150,40,96,1.2,99.43,50.937500,6.71691
100,150,50,96,1.2,99.61,55.609375,8.18436
100,150,60,96,1.2,99.64,58.687500,9.75687
100,150,70,96,1.2,99.69,61.312500,10.6843
100,150,80,96,1.2,99.7,920.62500,470.839
100,150,90,96,1.2,99.71,64.125000,12.2228
100,150,100,96,1.2,99.71,64.640625,12.6051
100,150,110,96,1.2,99.71,64.156250,12.5734
100,150,10,96,1.2,92.83,31.875000,2.75819
100,150,20,96,1.2,98.05,43.375000,4.72554
100,150,30,96,1.2,99.03,47.718750,5.97278
100,150,40,96,1.2,99.43,53.406250,7.4184
100,150,50,96,1.2,99.61,58.187500,8.91649
100,150,60,96,1.2,99.64,61.734375,10.8347
100,150,70,96,1.2,99.69,65.78125,11.9014
100,150,80,96,1.2,99.7,67.859375,13.4925
100,150,90,96,1.2,99.71,67.750000,13.4518
100,150,100,96,1.2,99.71,68.703125,13.9364
100,150,110,96,1.2,99.71,70.734375,13.9749
