K,L,R,Rstitched,a,Recall,UserTime,ElapsedTime
100,150,42,10,1.2,92.68,30.671875,2.78189
100,150,42,20,1.2,98.02,40.500000,4.029
100,150,42,30,1.2,99.02,46.265625,5.36071
100,150,42,40,1.2,99.44,52.156250,6.952
100,150,42,50,1.2,99.5,53.812500,7.46871
100,150,42,60,1.2,99.5,53.781250,7.24322
100,150,42,70,1.2,99.5,54.109375,7.31006
100,150,42,80,1.2,99.5,54.296875,7.34931
100,150,42,90,1.2,99.46,55.984375,8.07712
100,150,42,100,1.2,99.48,54.296875,7.57576
100,150,42,110,1.2,99.5,53.984375,7.3551
